Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
['2020-09-17 08:00:00'],2020-09-17 12:00:00,[2.4316],2.6266808642633745,2,[287.6702],287.6702,[0.19312235456790125],-56.11895123881782,0.7275583339394089,1455.116667878818,[-21.287594799999958]
['2020-09-18 08:00:00'],2020-09-18 12:00:00,[3.1192],2.9187786057409326,1,[281.3631],281.3631,[0.197451493849001],-56.39118479505345,0.8494321891224732,1698.8643782449465,[3.9109470900000063]
['2020-09-19 00:00:00'],2020-09-20 00:00:00,[3.15],2.960718312951694,1,[264.1431],264.1431,[0.21032370543611303],-49.99745159016941,0.8070520392049153,1614.1040784098304,"[3.1961315100000585, -3.565931850000018, 0.9509151600000126, -1.5584442900000044, -20.33901869999999, -35.05178936999995]"
['2020-09-20 16:00:00'],2020-09-21 00:00:00,[2.7526],2.928344798311853,2,[315.3816],315.3816,[0.17615346744983143],-55.42667568326949,0.8958327300016349,1791.6654600032696,"[17.472140640000035, -22.581322559999894]"
"['2020-09-21 08:00:00', '2020-09-21 08:00:00']",2020-09-21 12:00:00,"[2.6876, 2.501908975692786]",2.6957339317128524,2,"[299.1828, 299.1828]",598.3656,"[0.18569102430721424, 0.18569102430721424]",-60.42262551682023,1.5828231387313099,3165.6462774626198,[56.69782597289969]
['2020-09-23 00:00:00'],2020-09-23 04:00:00,[3.03],2.8276924785462247,1,[280.9167],280.9167,[0.19776520155761593],-56.831561311973694,0.822761820344013,1645.5236406880263,[-33.120078929999906]
['2020-09-24 16:00:00'],2020-09-25 08:00:00,[3.0935],2.9054172101209144,1,[289.8969],289.8969,[0.191639010767095],-54.52461772929834,0.8695337512853509,1739.067502570702,"[46.47047306999997, 25.62688596000001, -13.21929864000009, -13.480205849999997]"
['2020-09-25 20:00:00'],2020-09-26 00:00:00,[3.2538],3.078001679881581,1,[307.3644],307.3644,[0.18074820012687753],-54.034145184205855,0.9730852121278971,1946.170424255794,[-13.739188680000057]
"['2020-09-28 20:00:00', '2020-09-30 08:00:00']",2020-10-01 04:00:00,"[2.977, 2.8708471718866906]",2.9663982576179992,2,"[452.893, 523.3545]",976.2475,"[0.1226681597363713, 0.10615282811330932]",-45.205635784754655,2.87333606511155,5746.6721302231,"[29.664491499999848, 29.709780799999944, 18.2515878999999, 15.579519199999892, 46.647978999999886, 37.99772269999993, 35.73325769999998, 26.08663679999994, 58.106171899999936, 89.41719346917304, 84.04783221917299, 81.11908971917288, 25.180107969173182, -2.154822030826841]"
"['2020-10-01 16:00:00', '2020-10-01 16:00:00']",2020-10-01 20:00:00,"[2.8285, 2.7358168357787522]",2.8356877890519168,2,"[599.4137, 599.4137]",1198.8274,"[0.09268316422124763, 0.09268316422124763]",-64.17247685442383,3.367413980933646,6734.827961867291,[54.736562406434075]
"['2020-10-02 04:00:00', '2020-10-02 08:00:00', '2020-10-02 08:00:00']",2020-10-02 12:00:00,"[2.6546, 2.5449757345832404, 2.435351469166481]",2.554487450222123,2,"[553.987, 506.7816, 506.7816]",1567.5502,"[0.1002831415179566, 0.10962426541675947, 0.10962426541675947]",-9.735234453369223,3.9994196962664943,7998.839392532988,"[128.63578139999984, 152.01627377981015]"
['2020-10-05 20:00:00'],2020-10-06 04:00:00,[2.6689],2.5846487047456614,1,[640.8455],640.8455,[0.08669102771543971],-53.992063432914115,1.683356523233543,3366.713046467086,"[-5.0626794499998695, -38.89932184999984]"
"['2020-10-06 08:00:00', '2020-10-06 16:00:00', '2020-10-06 20:00:00']",2020-10-07 16:00:00,"[2.4266, 2.332606472836176, 2.2330925141499405]",2.3364105173979617,2,"[657.4009, 591.0572, 558.269]",1806.7270999999998,"[0.08450787557071604, 0.09399352716382374, 0.0995139586862355]",-0.6369992495196223,4.220937698883159,8441.875397766318,"[54.49853460999998, 107.22208679, 308.99421421642654, 452.8705049183993, 308.3323369183992, 285.2062300383994, 223.9581813483993, 222.1514542483995]"
['2020-10-08 04:00:00'],2020-10-08 08:00:00,[2.0854],2.2001826175363157,2,[521.9497],521.9497,[0.10643851878890954],-59.91075278829477,1.1184292807741474,2236.858561548295,[13.883862019999862]
"['2020-10-09 08:00:00', '2020-10-09 08:00:00']",2020-10-10 16:00:00,"[2.4629, 2.5865139450920314]",2.468009607202074,1,"[449.4279, 449.4279]",898.8558,"[0.12361394509203132, 0.12361394509203132]",-50.96275568412125,2.2438661277313665,4487.7322554627335,"[93.65450704657272, 80.35144120657299, 48.35217472657291, 77.56498822657309, 51.228513286573, 52.84645372657282, 24.71226718657292, -6.747685813427209]"
"['2020-10-12 16:00:00', '2020-10-12 20:00:00']",2020-10-13 00:00:00,"[2.5968, 2.6998620152306336]",2.582,1,"[545.2235, 539.0498]",1084.2732999999998,"[0.10189501631853594, 0.10306201523063356]",-71.60280353767024,2.8353950623688347,5670.790124737669,"[61.5012108, -64.12131776766986]"
"['2020-10-13 16:00:00', '2020-10-14 16:00:00']",2020-10-15 04:00:00,"[2.3421, 2.2405900248762176]",2.3350357053916717,2,"[499.0001, 547.2916]",1046.2917,"[0.11133376366011559, 0.10150997512378222]",-48.1642438864064,2.419046355811748,4838.092711623496,"[-4.141700830000097, -20.558804120000172, -8.033901610000113, -0.5988001200001556, 45.70840915999984, 54.09161084000002, 40.49402135854476, 58.38560942854488, 59.64115946854474]"
"['2020-10-15 08:00:00', '2020-10-16 04:00:00']",2020-10-16 16:00:00,"[2.232, 2.143614488872594]",2.2297785311047726,2,"[580.9065, 628.5595]",1209.466,"[0.0956359684810907, 0.08838551112740624]",-52.86876158265168,2.6704069401098387,5340.813880219677,"[3.543529649999997, -9.352594649999874, -17.485285650000012, 11.26958610000005, 74.93693850000001, 65.2701007185134, 48.2166301185134, 38.41995551851314]"
['2020-10-18 16:00:00'],2020-10-18 20:00:00,[2.2534],2.1894521035669454,1,[851.5954],851.5954,[0.06523703189255875],-54.45773444206575,1.8917562071389673,3783.5124142779346,[-10.21914480000001]
"['2020-10-19 00:00:00', '2020-10-20 00:00:00', '2020-10-20 04:00:00']",2020-10-21 12:00:00,"[2.11, 2.0471609352080478, 1.9837778080688926]",2.054438955221328,2,"[871.441, 884.0927, 876.5039]",2632.0376,"[0.0637513700041845, 0.06283906479195195, 0.06338312713915513]",-19.951042998808685,5.397385055547848,10794.770111095695,"[24.574636200000004, 51.240730799999774, 44.8792114999999, 38.256259899999854, 51.41501899999976, 63.353760699999796, 210.75890383260793, 529.4577357284433, 527.0889018884429, 469.18407468844293, 444.96932876844323, 428.6506956484433, 333.63413828844324, 342.8462698884428, 409.43682116844303]"
"['2020-10-25 04:00:00', '2020-10-25 20:00:00']",2020-10-26 08:00:00,"[1.8502, 1.7875913633932976]",1.8481480445336804,2,"[863.6918, 887.3465]",1751.0383,"[0.0643233529835047, 0.06260863660670256]",-51.96250195130926,3.2101967590729252,6420.393518145851,"[-17.101097640000035, 16.4965133800001, 33.943087740000095, 75.48666332000012, 75.59721410727062, -13.53063536272928, 19.914196167270923]"
"['2020-10-26 16:00:00', '2020-10-26 16:00:00', '2020-10-26 16:00:00']",2020-10-27 00:00:00,"[1.7628, 1.7002124022065999, 1.6376248044131998]",1.706320667379895,2,"[887.6448, 887.6448, 887.6448]",2662.9344,"[0.0625875977934001, 0.0625875977934001, 0.0625875977934001]",-16.2659094542889,4.535687047869736,9071.374095739471,"[139.57078882259145, 93.76831714259117]"
['2020-10-27 08:00:00'],2020-10-27 12:00:00,[1.6162],1.6849491994016628,2,[839.4451],839.4451,[0.06618128507321003],-57.71117856664868,1.3855667599033246,2771.133519806649,[-53.136874829999925]
"['2020-10-28 00:00:00', '2020-10-28 08:00:00']",2020-10-28 12:00:00,"[1.5928, 1.5180172337527573]",1.5975611489168504,2,"[813.5372, 742.8925]",1556.4297000000001,"[0.06828888982464072, 0.07478276624724257]",-62.96594975463917,2.45500864486299,4910.017289725979,"[59.06280072, 111.69865755999999, 47.63573293566971]"
"['2020-10-29 12:00:00', '2020-10-30 04:00:00']",2020-10-30 16:00:00,"[1.4555, 1.3837885828894467]",1.4552960580157752,2,"[742.0519, 774.7101]",1516.7620000000002,"[0.07486747946745541, 0.07171141711055339]",-55.2462276689819,2.1797146457136325,4359.429291427265,"[-10.537136979999994, 30.349922709999955, 49.049630590000035, 87.26530343999995, 118.72039467914135, 68.51557247914148, -8.839289520858765]"
"['2020-10-31 20:00:00', '2020-11-01 16:00:00']",2020-11-02 08:00:00,"[1.537, 1.5927298128670937]",1.538442686129271,1,"[898.2396, 996.8732]",1895.1127999999999,"[0.06184937330046494, 0.05572981286709369]",-52.821503938256875,2.9419331785190925,5883.866357038185,"[37.726063200000034, 15.270073200000112, 15.180249240000123, 34.85169648000015, 79.40438064000003, 151.95929471177925, 144.56835479177923, 70.46944431177897, 59.667301351779315]"
"['2020-11-03 00:00:00', '2020-11-03 20:00:00', '2020-11-04 00:00:00']",2020-11-05 04:00:00,"[1.4644, 1.4153135622177766, 1.3674995536210348]",1.4190872714835676,2,"[1059.5893, 1131.7903, 1161.9096]",3353.2892,"[0.05243121502736189, 0.04908643778222339, 0.04781400859674183]",-16.198429878794695,4.750510806383918,9501.021612767836,"[46.72788813000003, 36.55583084999998, 46.62192919999981, 46.51597026999982, 56.68802754999988, 204.12292845652576, 238.27353800452073, 232.23761744452065, 407.27931368452073, 471.3271374045204, 110.84854840452063, 81.33960344452089, 46.80072468452023]"
['2020-11-05 12:00:00'],2020-11-05 16:00:00,[1.4857],1.4245183413882105,1,[1064.3921],1064.3921,[0.0521946342269174],-65.12127409128568,1.548806705924357,3097.6134118487143,[-9.685968110000115]
"['2020-11-06 00:00:00', '2020-11-06 00:00:00', '2020-11-06 04:00:00']",2020-11-12 00:00:00,"[1.489, 1.5488844670573811, 1.6150433029776035]",1.9517,1,"[927.7123, 927.7123, 839.7299]",2695.1545,"[0.05988446705738114, 0.05988446705738114, 0.0661588359202224]",1085.6501002768703,4.717307987511565,9434.61597502313,"[231.8497138719229, 555.2436946768701, 652.2692566768701, 905.0747487768704, 1074.0609359268703, 2217.0759593768707, 2024.1028971768706, 2455.5971326268705, 2563.4033126268705, 1858.0813799768707, 1532.7762318268701, 1751.08374632687, 1416.0760419768703, 1700.9538726268709, 1961.8448282268707, 1988.7963732268702, 1716.5857687268701, 1761.3253334268702, 1518.4919129768698, 1727.90541762687, 1685.5914919768707, 1391.0111051268702, 1430.62987627687, 1612.0137741268697, 1641.9299890768707, 1877.4864923768698, 1862.663142626871, 2024.3724126268698, 2106.8441403268703, 2035.4225460768705, 1979.09381702687, 1820.6187324268708, 1580.4804664768703, 1657.8314006268706, 1338.18607692687, 1373.2230854268698]"
['2020-11-12 12:00:00'],2020-11-13 08:00:00,[1.9143],2.0231133610054295,2,[448.3245],448.3245,[0.1239181816235387],-48.78369566607872,0.8826194381830393,1765.2388763660786,"[39.36289109999994, 27.66162164999994, 6.411040349999991, -1.344973500000051, -11.163280050000065]"
"['2020-11-15 04:00:00', '2020-11-15 08:00:00']",2020-11-15 16:00:00,"[2.0821, 2.176012402289544]",2.0792353762950966,1,"[612.4302, 591.5678]",1203.998,"[0.09071328816736848, 0.09391240228954394]",-59.004554426596535,2.532897511801842,5065.795023603684,"[75.81885876000008, 89.40580598485992, 116.73656058485986]"
"['2020-11-16 04:00:00', '2020-11-16 08:00:00']",2020-11-16 16:00:00,"[2.2252, 2.3349134524563495]",2.220108844983263,1,"[507.6873, 506.3696]",1014.0569,"[0.1094286990603743, 0.10971345245634935]",-60.71827790863197,2.2816758319606247,4563.3516639212485,"[66.81164867999986, 93.30799588505958, 27.29289169505987]"
