Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
['2020-01-17 16:00:00'],2020-01-19 08:00:00,[0.01791],0.01730067510293007,1,[73127.4153],73127.4153,[0.0007597089999999999],-44.55835480066253,1.2874328306226686,2574.865661245337,"[9.506563989000119, 6.581467376999985, -4.387644917999821, -18.281853825000013, 27.057143661000165, 9.506563989000119, 1.462548306000194, 18.281853825000013, 20.47567628400018, 15.356757213000135]"
['2020-01-19 12:00:00'],2020-01-20 16:00:00,[0.01619],0.01676497103412523,2,[74934.0768],74934.0768,[0.000741392407362938],-43.084923628915476,1.2347251652064577,2469.4503304129153,"[-9.741429984000122, -4.496044608000076, -13.48813382399997, -11.240111520000061, -13.48813382399997, 7.4934076799999545, -21.73088227200015]"
"['2020-01-21 04:00:00', '2020-01-22 00:00:00']",2020-01-23 00:00:00,"[0.01694, 0.0174148255838907]",0.017033266590762243,1,"[110348.8469, 117002.0265]",227350.8734,"[0.0005034538838772932, 0.00047482558389070234]",-34.35131468042168,3.8897036936050475,7779.407387210094,"[11.034884689999934, 45.24302722900007, 32.00116560099985, 47.45000416699998, 59.58837732599987, 87.67549469274174, 51.299354948741644, 24.017250140741968, 37.6583025447422, 58.11988115074216, 60.393389884742064]"
"['2020-01-23 04:00:00', '2020-01-23 12:00:00', '2020-01-23 16:00:00']",2020-01-24 00:00:00,"[0.01674, 0.016318893494009355, 0.015908897638617775]",0.016331994281484956,2,"[136031.1819, 131927.5641, 135502.7248]",403461.4708,"[0.000408403093815613, 0.0004211065059906465, 0.000409995855391582]",-3.557602830123951,6.587551632490049,13175.103264980096,"[51.69184912200025, 62.57434367400028, 185.60731583799176, 110.21622473498624, 291.77388659498587]"
"['2020-01-26 16:00:00', '2020-01-26 16:00:00', '2020-01-27 08:00:00', '2020-01-28 00:00:00']",2020-02-04 08:00:00,"[0.01654, 0.016829552686444895, 0.017116764204021393, 0.01740615368070333]",0.01886,1,"[191866.8282, 191866.8282, 193430.8068, 191975.0372]",769139.5004,"[0.0002895526864448971, 0.0002895526864448971, 0.0002872115175764972, 0.00028938947668193956]",1451.0042349918717,13.780468860048064,27560.937720096124,"[71.07655106702818, 163.17262860302841, 120.96192639902881, 174.68463829502795, 271.52547116981094, 259.9821819058114, 242.6672480098121, 421.58823160181083, 543.419624519874, 1081.8172747998735, 1558.6837650478726, 1204.8795948638738, 1451.0042349918717, 1466.3870249998738, 2189.3781553758736, 2043.2416502998742, 1581.7579500598717, 1581.7579500598717, 1781.7342201638742, 1304.8677299158724, 1412.5472599718732, 1481.7698150078731, 1520.2267900278744, 1758.6600351518725, 2212.452340387873, 2204.760945383873, 1820.1911951838727, 1650.9805050958744, 1397.164469963874, 1343.3247049358733, 1735.5858501398734, 1666.3632951038737, 1643.2891100918719, 1574.066555055872, 1351.0160999398731, 1481.7698150078731, 1674.0546901078733, 1643.2891100918719, 1950.9449102518727, 2089.3900203238722, 2312.440475439874, 2166.303970363872, 2081.698625319873, 2127.8469953438735, 1866.3395652078734, 1843.2653801958718, 1797.1170101718737, 1674.0546901078733, 1850.956775199874, 1920.179330235874, 1750.968640147873, 1627.9063200838725]"
['2020-02-04 12:00:00'],2020-02-04 16:00:00,[0.01851],0.019,2,[122003.5689],122003.5689,[0.00045536008549271477],-59.7817487610001,2.2881769347195,4576.353869439,[-59.7817487610001]
"['2020-02-05 00:00:00', '2020-02-05 04:00:00', '2020-02-05 20:00:00', '2020-02-06 04:00:00']",2020-02-06 12:00:00,"[0.01954, 0.019990173752091767, 0.020470029750839176, 0.02097111310982458]",0.020485235589046403,1,"[119567.5237, 123409.1399, 115775.4737, 110870.8852]",469623.0225,"[0.0004646375023241888, 0.00045017375209177, 0.00047985599874741014, 0.0005010833589854022]",122.0054264852647,9.559335540709906,19118.671081419816,"[99.24104467100011, 99.94950915279914, 158.2639084167993, 170.4127415967988, 262.7438737647993, 339.0228017103009, 378.48553681330054, 382.535565932725, 1556.5931221827245]"
['2020-02-07 08:00:00'],2020-02-07 12:00:00,[0.02354],0.02266,1,[69682.5045],69682.5045,[0.0007972669172443053],-61.320603959999914,1.6096658539499997,3219.3317079,[-47.38410306]
['2020-02-10 04:00:00'],2020-02-10 12:00:00,[0.02135],0.022108357969624234,2,[79370.9629],79370.9629,[0.0006999481106472008],-60.19160227196431,1.7246658590509822,3449.3317181019643,"[34.12951404699999, 19.04903109600005]"
"['2020-02-11 12:00:00', '2020-02-12 00:00:00', '2020-02-12 04:00:00', '2020-02-13 00:00:00']",2020-02-13 08:00:00,"[0.0225, 0.023159522967968867, 0.023823093639140848, 0.02453162828476119]",0.02362881522180871,1,"[82308.212, 84235.9679, 83722.1384, 78409.0882]",328675.4065,"[0.0006749697777350721, 0.0006595229679688677, 0.0006635706711719808, 0.0007085346456203426]",45.387896190462904,7.743516500046134,15487.033000092268,"[53.5003378000001, 40.33102388000007, 80.66204776000014, 210.91513228086185, 221.58500903355156, 296.66490452355197, 274.140935876552, 294.1622413405521, 704.5990033525518, 689.9811003840975, 394.1732345340971]"
