Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
['2020-01-29 00:00:00'],2020-01-30 00:00:00,[385.84],373.3301204439744,1,[4.4476],4.4476,[12.491215604095856],-55.638940313379315,1.6882425138433104,3376.485027686621,"[46.65532400000004, 43.052768000000036, 14.054416000000113, 12.453280000000051, 13.431752000000174, -13.609656000000012]"
['2020-01-30 16:00:00'],2020-01-31 04:00:00,[396.33],384.27047172671473,1,[4.6248],4.6248,[12.012555210130051],-55.77290635828963,1.805060530820855,3610.1210616417097,"[4.486056000000126, -2.4511439999998736, -34.5010079999999]"
"['2020-02-05 08:00:00', '2020-02-05 08:00:00', '2020-02-05 08:00:00']",2020-02-15 16:00:00,"[393.0, 401.50002630096714, 410.00005260193427]",460.24,1,"[6.5359, 6.5359, 6.5359]",19.6077,"[8.50002630096714, 8.50002630096714, 8.50002630096714]",1151.755782298527,8.448369956850737,16896.739913701473,"[715.6805342985267, 735.2882342985267, 888.228294298527, 931.3652342985267, 833.3267342985267, 827.6405012985264, 922.541769298527, 882.3459842985268, 885.2871392985263, 1147.0499342985268, 859.0128212985268, 890.9733722985267, 830.7777332985269, 823.5228842985267, 800.3857982985267, 792.7387952985268, 1007.050956298527, 1055.8741292985271, 983.3256392985263, 940.7769302985271, 942.1494692985269, 1189.9907972985268, 1148.030319298527, 1112.7364592985268, 1032.3448892985264, 1009.7960342985267, 1023.9135782985273, 1015.2861902985262, 936.8553902985262, 916.4633822985269, 1209.402420298527, 1087.6386032985272, 1071.952443298527, 1040.5801232985266, 920.9731532985273, 1043.5212782985272, 1258.4216702985268, 1355.4797852985266, 1303.9115342985267, 1459.400595298527, 1587.2427992985265, 1530.7726232985267, 1490.1846842985267, 1528.2236222985268, 1605.281883298527, 1535.282394298527, 1690.1832242985265, 1490.9689922985272, 1571.5566392985263, 1427.440044298527, 1495.4787632985265, 1548.615630298527, 1506.8512292985272, 1908.4169252985264, 1833.3194342985269, 1889.9856872985265, 1850.9663642985263, 1856.6525972985269, 1777.4374892985263, 1772.5355642985264, 1734.3005492985267, 1598.0270342985268]"
"['2020-02-16 12:00:00', '2020-02-16 16:00:00', '2020-02-16 16:00:00']",2020-02-16 20:00:00,"[422.22, 407.1467161151995, 392.073432230399]",408.9585519209595,2,"[3.7731, 3.6857, 3.6857]",11.1445,"[14.723983036632097, 15.073283884800494, 15.073283884800494]",-18.874599125760216,4.548201282320253,9096.402564640506,"[147.9809820000001, 128.5509977573728]"
['2020-02-17 04:00:00'],2020-02-17 12:00:00,[383.0],401.4155565199596,2,[3.1668],3.1668,[17.54322052073082],-58.318384387407995,1.242043592193704,2484.087184387408,"[42.878472000000066, 28.722875999999978]"
['2020-02-20 12:00:00'],2020-02-21 16:00:00,[366.73],382.59988491064485,2,[3.2809],3.2809,[16.932806402099875],-52.067505403334614,1.2292382097016672,2458.4764194033346,"[54.88945700000006, 8.694385000000112, -2.198202999999866, -22.671018999999895, -13.845397999999904, -24.048996999999947, -29.4296729999999]"
"['2020-02-23 08:00:00', '2020-02-24 00:00:00']",2020-02-24 04:00:00,"[394.5, 406.9164492291542]",390.4,1,"[4.1824, 4.4744]",8.6568,"[13.283146128902217, 12.416449229154159]",-91.04904043092749,3.425139240215464,6850.278480430928,"[17.98432000000005, 15.056640000000096, 42.618655999999994, 58.9300159999999, -86.46093643092723]"
"['2020-02-24 16:00:00', '2020-02-25 12:00:00', '2020-02-26 00:00:00']",2020-03-02 12:00:00,"[367.57, 354.5102209131825, 340.7828878186223]",326.3,2,"[4.1721, 4.2539, 4.0471]",12.4731,"[13.316019499953743, 13.059779086817485, 13.727333094560148]",350.79972103333284,4.245372390516668,8490.744781033334,"[-6.466755000000048, -2.962190999999915, 18.357239999999905, 15.186443999999945, 60.78749699999997, 128.21606574258712, 117.59930574258718, 256.2070057425871, 378.2405410333327, 527.7930100333328, 509.8317460333329, 655.6422850333329, 503.59519603333285, 584.0466910333328, 420.39961903333267, 414.41253103333315, 414.7867240333328, 354.2921890333332, 450.70925203333275, 400.56739003333297, 541.5134200333331, 611.4875110333332, 690.0680410333327, 629.698237033333, 605.7498850333328, 529.0403200333332, 488.627476033333, 559.1004910333327, 607.7455810333331, 578.1843340333331, 601.1348380333328, 603.1305340333331, 536.7736420333332, 570.0768190333326, 549.7456660333328, 624.958459033333, 595.7714050333327, 540.2661100333329, 491.62102003333314, 462.93289003333297, 414.28780003333327]"
"['2020-03-02 16:00:00', '2020-03-02 16:00:00']",2020-03-03 04:00:00,"[329.17, 340.7022698727852]",329.351989990606,1,"[4.8174, 4.8174]",9.6348,"[11.532269872785182, 11.532269872785182]",-53.80211972366519,3.200141613023323,6400.283226046647,"[80.19877511484403, 44.93540711484434, 26.82198311484438]"
['2020-03-05 08:00:00'],2020-03-05 20:00:00,[343.26],333.2943987038558,1,[5.4344],5.4344,[10.2228926037547],-54.15706368376604,1.838333612158117,3676.667224316234,"[-4.238831999999852, 1.1955680000001483, -7.934223999999889]"
['2020-03-06 04:00:00'],2020-03-07 16:00:00,[344.0],334.9693543512728,1,[5.6891],5.6891,[9.765255169770132],-51.376246160174,1.931362276919913,3862.7245538398256,"[49.779624999999996, 34.931073999999924, 18.83092100000001, 41.473539000000116, 41.757993999999854, 26.340532999999972, 31.858960000000128, 29.867774999999998, 29.583319999999933]"
"['2020-03-08 12:00:00', '2020-03-08 12:00:00', '2020-03-08 12:00:00']",2020-03-15 20:00:00,"[315.15, 305.8577835530725, 296.56556710614507]",189.35,2,"[5.9787, 5.9787, 5.9787]",17.9361,"[9.292216446927437, 9.292216446927437, 9.292216446927437]",2089.6952565862643,4.441048163293132,8882.096326586263,"[677.9448255862641, 675.4337715862642, 843.6743895862642, 840.4458915862641, 702.6966435862639, 962.7700935862639, 897.6620505862641, 753.6351675862645, 670.7703855862644, 740.3624535862643, 723.5025195862644, 754.3526115862638, 767.625325586264, 657.856393586264, 646.556650586264, 714.893191586264, 811.5687705862638, 885.1067805862642, 994.696351586264, 752.3796405862636, 930.126391586264, 1217.103991586264, 2616.119791586264, 2553.343441586264, 2451.107671586264, 3047.662357586264, 3178.7752485862643, 2885.161291586264, 2589.215641586264, 2751.357985586264, 2712.7953705862637, 2508.1444695862638, 2434.068376586264, 2401.962757586264, 2543.657947586264, 2497.382809586264, 2463.304219586264, 2538.277117586264, 2514.601465586264, 2487.159232586264, 2471.7341865862636, 2433.709654586264, 2409.316558586264, 2414.876749586264]"
"['2020-03-19 08:00:00', '2020-03-19 16:00:00', '2020-03-19 16:00:00']",2020-03-20 20:00:00,"[188.28, 200.0914725078195, 211.902945015639]",197.91393359132238,1,"[4.5833, 4.7035, 4.7035]",13.9903,"[12.121354579301379, 11.811472507819493, 11.811472507819493]",-31.884161698909743,2.784817385972132,5569.634771944264,"[42.578856999999964, 209.54847600000002, 464.1568441784129, 379.655432178413, 440.23343117841273, 655.5441481784129, 528.3723211784129, 526.6934851784129, 323.41442617841284]"
['2020-03-27 00:00:00'],2020-03-27 12:00:00,[231.17],222.06354405870866,1,[5.8519],5.8519,[9.493587626524373],-53.29006952284273,1.3261386882385784,2652.277376477157,"[15.68309200000004, -16.85347199999997, -27.679486999999938]"
"['2020-03-27 20:00:00', '2020-03-28 00:00:00']",2020-03-28 16:00:00,"[212.92, 203.80334358733532]",212.23951440205326,2,"[6.4116, 6.0939]",12.5055,"[8.664901487015426, 9.116656412664655]",-47.0461798680141,2.63063815742087,5261.27631484174,"[63.47483999999985, 45.73855748686302, 24.1040424868628, 37.609982486862954, 79.62846248686277]"
['2020-03-30 20:00:00'],2020-03-31 00:00:00,[226.44],219.05442778310064,1,[7.5262],7.5262,[7.381654965157232],-55.58529361882798,1.6764400811905862,3352.8801623811723,[-19.04128600000001]
