Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
"['2020-01-05 12:00:00', '2020-01-06 00:00:00', '2020-01-06 08:00:00', '2020-01-06 20:00:00']",2020-01-07 12:00:00,"[137.25, 139.4299057375, 141.68577066559376, 144.09177285831814]",139.4287120863427,1,"[13.3541, 12.7427, 12.3136, 11.5452]",49.955600000000004,"[2.080100000000003, 2.179905737500002, 2.255864928093753, 2.406002192724382]",-52.54895701244881,6.991519448006727,13983.038896013453,"[12.285771999999834, 9.214328999999971, 31.649217000000064, 35.63733915875937, 122.01774715875943, 138.461609490904, 92.36912949090443, 191.46796149090383, 238.25697348704986, 156.32978948705053, 162.82401748705033, 107.87285748704917]"
"['2020-01-08 00:00:00', '2020-01-08 00:00:00']",2020-01-08 12:00:00,"[145.25, 147.86087836468622]",142.5067796888405,1,"[10.6392, 10.6392]",21.2784,"[2.61087836468622, 2.61087836468622]",-86.14899616654537,3.0753907590142973,6150.781518028594,"[-27.56487309756947, -43.73645709756928, -61.61031309756935]"
['2020-01-09 16:00:00'],2020-01-10 12:00:00,[137.15],142.52966236605695,2,[10.3704],10.3704,[2.67855698245148],-55.789250600956976,1.4501949853004785,2900.389970600957,"[11.614848000000046, 8.711136000000035, 20.01487200000007, 19.18523999999994, -8.400024000000023]"
"['2020-01-11 16:00:00', '2020-01-14 00:00:00', '2020-01-14 04:00:00', '2020-01-14 12:00:00', '2020-01-14 12:00:00']",2020-01-20 12:00:00,"[145.29, 147.87593808798516, 150.62857927157108, 153.3816129397574, 156.1346466079437]",161.81,1,"[10.1335, 10.7419, 10.0913, 10.0899, 10.0899]",51.1465,"[2.7411906437656945, 2.5859380879851823, 2.7526411835859226, 2.7530336681862946, 2.7530336681862946]",572.2241214391183,7.989903104280441,15979.806208560884,"[25.536420000000103, -7.904130000000011, 6.080099999999942, 1.3173549999999539, 1.3173549999999539, 3.95206500000015, 13.274885000000022, 17.32828500000008, -12.362869999999988, -10.234834999999908, -15.504255000000011, -13.477554999999839, -6.485439999999862, 41.75002000000004, 86.82805765267223, 120.56145764946646, 305.74232364946704, 1042.2604564391183, 898.0273264391186, 1102.6133264391185, 679.1203064391185, 883.7063064391185, 947.1279664391176, 753.7941964391189, 865.2935664391179, 869.896751439118, 622.8591564391188, 698.5559764391182, 782.4362364391176, 708.2738114391182, 786.5279564391183, 862.7362414391187, 1071.4139614391179, 1236.105691439118, 1011.5725564391186, 1190.5853064391185, 1173.1954964391184, 1195.6999564391183, 1096.4757464391184, 1008.5037664391184, 1480.585961439118, 1391.079586439118, 1364.4834064391189, 1421.7674864391176, 1352.2082464391183, 1377.7814964391184, 827.4451564391188, 806.9865564391185, 877.5687264391183, 883.7063064391185, 819.7731814391185, 806.9865564391185, 849.4381514391177]"
"['2020-01-23 12:00:00', '2020-01-24 08:00:00']",2020-01-26 16:00:00,"[161.5, 157.89169027325764]",164.09502426810977,2,"[7.7033, 7.6983]",15.401599999999998,"[3.6059352576676473, 3.6083097267423754]",-67.74537653710011,2.4934532374991694,4986.906474998338,"[16.099897000000027, 11.32385099999999, 26.96155, 23.957263000000104, 44.525074000000004, -6.67765876938065, -16.22665076938072, -36.86479476938077, 29.208069230619103, 13.652453230619242, 10.726149230619278, 10.726149230619278, -6.83167476938051, -8.67986676938058, 3.025349230619279, -12.37625076938072, -20.23106676938058, -49.03205876938065, -54.57663476938085]"
"['2020-01-26 20:00:00', '2020-01-27 12:00:00', '2020-01-28 00:00:00', '2020-01-28 20:00:00', '2020-01-30 16:00:00']",2020-02-16 16:00:00,"[167.13, 170.18061082520614, 173.16689078146726, 176.25757488878546, 179.36479420084686]",256.2,1,"[8.8434, 9.1056, 9.3018, 8.9876, 8.9398]",45.1782,"[3.1410836475547557, 3.050610825206145, 2.986279956261117, 3.0906841073181868, 3.1072193120614005]",3748.6790761317707,9.700315301934115,19400.630603868227,"[24.84995400000002, 14.14943999999995, 17.509932000000163, 34.223958000000046, 56.40316807000262, 64.30072807000258, 101.63464807000281, 101.64635539895038, 86.9309233989506, 136.52737939895042, 85.02336739895078, 176.85856339895014, 226.85767132850177, 258.7474633285016, 252.94931932850173, 184.4587433285022, 206.92655132850135, 209.82562332850182, 88.78936732850168, 192.43119132850217, 197.142183328502, 220.69714332850222, 387.0313993285013, 640.4189161317717, 592.5300241317715, 491.3308561317711, 486.81303613177136, 359.8622941317713, 348.5677441317713, 433.954542131772, 513.0163921317719, 499.914714131771, 470.0971021317712, 433.0509781317715, 486.81303613177136, 504.88431613177164, 479.1327421317719, 681.0792961317719, 862.6956601317711, 925.0415761317709, 908.3256421317719, 872.1830821317714, 1004.1034261317708, 859.0814041317718, 798.9943981317712, 801.2533081317717, 780.0195541317718, 848.2386361317714, 837.395868131771, 724.4503681317709, 694.6327561317711, 710.4451261317708, 755.6233261317708, 739.3591741317715, 777.7606441317713, 861.7920961317718, 1133.3130781317714, 1187.0751361317714, 1467.179976131771, 1579.2219121317717, 1525.9116361317713, 1751.8026361317714, 1720.6296781317715, 1964.1401761317707, 1870.621302131771, 1863.3927901317713, 2170.6045501317717, 2108.7104161317716, 2355.383388131772, 2301.6213301317707, 2259.153822131771, 2314.7230081317716, 2321.047956131771, 2209.0060201317715, 2464.7146321317714, 2475.557400131772, 2401.9169341317706, 2348.154876131771, 2519.380254131772, 2605.6706161317716, 2584.8886441317713, 2546.938956131771, 2508.5374861317714, 2519.832036131771, 2563.2031081317714, 2398.3026781317712, 2331.8907241317715, 2371.1957581317715, 2322.8550841317706, 2360.8047721317707, 2289.874998131771, 2169.700986131771, 2263.671642131772, 2617.8687301317705, 3015.888672131771, 2994.2031361317713, 3436.497714131771, 3821.867760131771, 3875.178036131771, 3856.2031921317703, 4273.197978131771, 4732.208490131772, 4628.750412131772, 4565.952714131772, 4317.924396131772, 4769.706396131772, 4507.672836131771, 4372.138236131771, 4397.889810131771, 4331.477856131773, 4540.201140131772, 4634.623578131771, 5077.369938131772, 5166.37099213177, 5230.524036131771, 4961.261964131772, 5080.532412131772, 5004.633036131771, 4823.920236131771, 4373.945364131772, 4566.404496131771, 4552.851036131771, 4521.226296131772, 4313.406576131771, 4056.79440013177]"
['2020-02-18 16:00:00'],2020-02-19 20:00:00,[285.68],266.2502492966729,1,[2.6867],2.6867,[10.338847422750138],-52.20191121462893,0.7414355003926856,1482.871000785371,"[2.149360000000031, -6.7436169999999755, -10.585597999999994, -5.964474000000074, -6.528681000000018, 2.740433999999951, -20.660722999999994]"
['2020-02-23 08:00:00'],2020-02-24 16:00:00,[272.23],257.5623995067999,1,[3.5689],3.5689,[7.783248621358095],-52.34719940018183,0.9453880472999092,1890.7760945998184,"[2.7123639999999676, -0.6780909999999919, 12.883728999999846, 17.951566999999905, -11.563236000000034, 0.42826800000001625, 2.2840959999999515, -4.6752590000000085]"
"['2020-02-25 04:00:00', '2020-02-25 16:00:00', '2020-02-26 00:00:00', '2020-02-26 12:00:00', '2020-02-26 16:00:00']",2020-03-02 16:00:00,"[256.23, 248.3856150240732, 240.43348258329922, 232.48323428189065, 224.1259983955525]",233.33,2,"[3.7062, 3.5411, 3.4931, 3.494, 3.3238]",17.5582,"[7.494869486428729, 7.844384975926832, 7.9521324407739655, 7.95024830140858, 8.35723588633815]",129.44773342153167,4.161578672710766,8323.157345421532,"[-0.11118599999989888, 22.088952000000027, 36.80256600000003, 56.72576636174573, 114.26932836174572, 115.0964093734681, 142.69923737346804, 241.51091737346792, 410.2807459543941, 327.5042294215317, 538.904957421532, 424.77665742153204, 300.289019421532, 267.8063494215321, 165.6176254215317, 313.8088334215317, 240.5911394215319, 314.3355794215317, 411.9591714215317, 464.45818942153187, 384.5683794215317, 321.71002342153196, 241.1178854215319, 230.75854742153183, 324.6949174215317, 343.3066094215318, 323.4658434215319, 413.7149914215321, 428.9906254215317, 384.217215421532, 380.00324742153185, 368.4148354215319, 498.16993342153165, 474.6419454215321, 429.5173714215317, 382.8125594215318, 366.4834334215317, 316.2669814215319, 226.72016142153203]"
"['2020-03-06 04:00:00', '2020-03-06 08:00:00', '2020-03-07 12:00:00', '2020-03-07 16:00:00']",2020-03-07 20:00:00,"[234.26, 240.22546036397685, 245.8085713136437, 251.3495267158272]",238.91,1,"[4.769, 4.6564, 4.9753, 5.0132]",19.4139,"[5.824695119975648, 5.965460363976867, 5.583110949666852, 5.540955402183508]",-80.63375682737792,4.6784917274136895,9356.98345482738,"[35.004460000000016, 27.73803636117832, 16.71031836117817, 77.03287836117822, 83.81916636117822, 71.84890836117839, 77.88116436117825, 95.97793236117813, 167.3531015044072, -39.670427827377644]"
