Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
"['2020-01-06 00:00:00', '2020-01-06 12:00:00', '2020-01-06 20:00:00']",2020-01-10 08:00:00,"[7495.0, 7601.430194865757, 7706.249270732102]",7718.05,1,"[0.5322, 0.522, 0.53]",1.5842,"[104.38123325937502, 106.43019486575663, 104.81907586634539]",185.83713479206045,12.13401624260397,24268.032485207943,"[29.510489999999905, 43.108200000000004, 62.166282000000216, 11.648688280074738, 275.09326828007437, 656.12274679206, 488.2609147920599, 583.3921247920601, 502.8989227920595, 843.2009247920602, 973.62811079206, 1374.5732887920603, 1237.4607787920615, 1233.7220667920606, 1310.4923987920592, 1172.4927367920611, 836.8641247920602, 727.5543247920602, 601.9747907920595, 569.1343247920602, 550.2981867920597, 573.8869247920602, 643.32241079206, 402.79332479206016, 344.6531847920605, 401.71606879205973]"
"['2020-01-14 00:00:00', '2020-01-14 00:00:00', '2020-01-14 04:00:00']",2020-01-19 08:00:00,"[8292.19, 8420.818562419909, 8561.814696718822]",8596.25,1,"[0.4319, 0.4319, 0.394]",1.2578,"[128.628562419909, 128.628562419909, 140.99613429891355]",220.6598613836274,10.702033319308187,21404.066638616372,"[208.83722789084163, 185.00123138362696, 439.2026113836274, 558.6810333836271, 593.9120113836274, 625.9859113836275, 407.7576113836274, 490.7724113836274, 629.3819713836283, 508.29356538362777, 583.8244553836269, 562.7311493836263, 395.0286753836264, 390.14841138362743, 469.10051738362796, 387.3183613836274, 432.85072138362835, 531.6383333836271, 753.6526113836275, 777.5508113836274, 640.0732713836284, 677.2035273836266, 688.2470113836274, 722.2076113836274, 641.8467693836282, 630.5391473836285, 688.2470113836274, 653.0286113836274, 688.2470113836274, 986.7229513836265, 946.3098373836275, 898.2996113836274]"
['2020-01-19 20:00:00'],2020-01-20 00:00:00,[8505.0],8705.98,2,[0.3391],0.3391,[163.85140101372676],-68.15231799999985,2.918121659,5836.243318000001,[-41.72964599999983]
"['2020-01-23 08:00:00', '2020-01-24 00:00:00']",2020-01-24 12:00:00,"[8448.6, 8318.055795844044]",8447.825604132257,2,"[0.4296, 0.4256]",0.8552,"[129.31343517125373, 130.54420415595604]",-54.89734994268046,7.1971317816825655,14394.26356336513,"[48.922848000000435, 52.668960000000155, 40.64016000000016, 70.96992000000031, 66.72543471122485, 116.84870671122535, 10.632866711224727]"
"['2020-01-27 00:00:00', '2020-01-27 08:00:00', '2020-01-27 16:00:00']",2020-02-02 04:00:00,"[8624.45, 8730.42690384727, 8839.880059569432]",9210.42,1,"[0.5067, 0.5242, 0.5076]",1.5385,"[109.64421478921918, 105.9769038472703, 109.45315572216138]",736.6094537658131,13.801926443117093,27603.852886234185,"[30.173984999999632, 70.70998499999963, 119.37001900325805, 320.6429350032597, 436.69426376581237, 684.7004637658134, 642.2532487658133, 605.8369537658132, 732.5939687658123, 493.2956787658137, 1083.7565937658123, 1105.203283765813, 1034.4168987658127, 1103.6647837658131, 985.8618387658134, 1062.3714437658127, 1121.3883037658136, 940.583783765813, 1037.509283765813, 1051.6634837658141, 1067.848503765812, 1251.4838637658129, 1334.439783765813, 1260.161003765812, 1120.0805787658132, 1062.1868237658143, 947.122408765813, 994.0928137658141, 1086.741283765813, 1147.9120437658135, 1134.434783765813, 1086.8489787658125, 1004.6623087658124, 1074.433283765813, 1061.2021837658124, 1019.0626687658133, 1022.1088987658127]"
['2020-02-03 00:00:00'],2020-02-03 04:00:00,[9599.0],9396.68,1,[0.4286],0.4286,[129.62598160735917],-86.71435199999988,4.070774224000001,8141.548448,[-71.31475399999975]
['2020-02-04 08:00:00'],2020-02-05 04:00:00,[9160.01],9282.144155641947,2,[0.4352],0.4352,[127.64882787571415],-53.15278453537514,4.013012744267687,8026.025488535375,"[23.940352000000093, -6.523647999999905, 3.0507520000000947, -8.647423999999557, -26.116352000000095]"
"['2020-02-05 16:00:00', '2020-02-05 16:00:00']",2020-02-05 20:00:00,"[9647.61, 9770.033941693515]",9638.020197084677,1,"[0.4538, 0.4538]",0.9076,"[122.42394169351368, 122.42394169351368]",-64.25968986646491,8.779596975807285,17559.193951614572,[26.481979259481864]
['2020-02-06 12:00:00'],2020-02-06 20:00:00,[9799.08],9666.473327325128,1,[0.435],0.435,[127.71653481980245],-57.68390261356942,4.233757848693216,8467.51569738643,"[21.71520000000003, 4.880699999999715]"
['2020-02-07 08:00:00'],2020-02-07 12:00:00,[9884.0],9754.410913189613,1,[0.4284],0.4284,[129.67693348461813],-55.5159647895698,4.2065476176052154,8413.095235210429,[-12.273659999999845]
"['2020-02-08 20:00:00', '2020-02-09 00:00:00', '2020-02-09 04:00:00']",2020-02-10 04:00:00,"[9900.0, 10020.954319206581, 10144.353422452834]",10024.151315812367,1,"[0.4587, 0.4593, 0.4502]",1.3681999999999999,"[121.11296758587585, 120.95431920658208, 123.399103246253]",4.301600694631537,13.712893029947164,27425.786059894326,"[74.3094, 205.46980118841805, 192.90617040015084, 192.22207040015084, 160.65769640015125, 221.07740840015106, 263.45056240015015, 142.28277040015087]"
